Site,Treat2,bird.abund,bird.rich,bird.div,seed.abund,seed.rich,seed-div,plant.rich,plant.abund,plant.div,bid.visists.x.degree,sum.visists.x.degree,Mean.Phyl.dist,Treat
07ZM,Hetero.diff,16.75,6.583333333,1.60481018,202.6666667,10.75,1.287586821,4,7.083333333,1.085516179,23.47003968,172.0833333,0.255418121,2.spp.2.fam
07ZM,Hetero.same,15.33333333,8.666666667,2.01025715,173.3333333,10.33333333,1.152763729,2,3.666666667,0.4530789,17.87619048,168.6666667,0.150585749,2.spp.1.fam
07ZM,Intra,16.16666667,7.166666667,1.551939826,137.5,5.666666667,0.877643472,5.666666667,8.333333333,1.383204965,25.0765873,221.8333333,0,1.sp.
08NEI,Control,4,4,1.386294361,656,12,2.052246463,0,0,0,21.75,87,,0.sp.
08NEI,Hetero.All,34,11,2.09849568,1054,17,1.450543034,4,34,1.039968086,31.90909091,351,0.431177611,6.spp.3.fam
08NEI,Hetero.diff,10.08333333,5.5,1.48714805,398.5833333,11.41666667,1.407096936,3,4.083333333,0.793332741,18.59785654,121.1666667,0.255418121,2.spp.2.fam
08NEI,Hetero.same,11,6,1.612145718,341.3333333,12.66666667,1.439524923,1,1.666666667,0.316756846,36.2,218,0.150585749,2.spp.1.fam
08NEI,Intra,14.33333333,6.666666667,1.522235896,376.1666667,13,1.515159886,3,4.833333333,0.764961041,20.55902778,150.3333333,0,1.sp.
09DITO,Control,10,4,1.16828245,0,0,0,1,6,0,5.5,22,,0.sp.
09DITO,Hetero.All,17,8,1.98696677,137,6,1.165017468,5,8,1.494175138,30.875,247,0.431177611,6.spp.3.fam
09DITO,Hetero.diff,13.83333333,7.25,1.789288462,61.91666667,5.416666667,0.969486366,5.083333333,11.91666667,1.216681766,20.20994168,158.3333333,0.255418121,2.spp.2.fam
09DITO,Hetero.same,18,9,1.968817603,39.66666667,7,1.337613967,4.333333333,10,1.254156262,18.74928775,179,0.150585749,2.spp.1.fam
09DITO,Intra,17.83333333,7.833333333,1.5842387,153.1666667,5.5,0.852192603,5.5,11.5,1.341559349,18.97222222,199,0,1.sp.
10JG,Control,7,5,1.549826046,345,6,0.950893383,1,2,0,10.8,54,,0.sp.
10JG,Hetero.All,30,11,2.123860847,241,22,1.995422752,9,30,1.935747416,14.75,177,0.431177611,6.spp.3.fam
10JG,Hetero.diff,18.25,8,1.699235708,136.4166667,8.583333333,1.084861258,4.166666667,8.916666667,1.037045489,25.42349537,209.8333333,0.255418121,2.spp.2.fam
10JG,Hetero.same,14.66666667,6.333333333,1.562188897,102,7.666666667,1.290088003,2.666666667,6,0.90092567,19.03703704,157.3333333,0.150585749,2.spp.1.fam
10JG,Intra,11.16666667,7,1.72759244,154.5,7.5,1.261770833,3,4,1.013621679,20.32407407,150.6666667,0,1.sp.
