Area,Treatment,Seed_species,Year,Month,initial_day,final_day,total,exclosure,survival
05PF1,CasSyl&TreMic,Schinus_terebinthifolius,2024,May,7,9,5,In,0
05PF1,Control,Schinus_terebinthifolius,2024,May,7,9,5,Out,1
05PF1,Control,Schinus_terebinthifolius,2024,May,7,9,5,In,1
05PF1,TreMic,Schinus_terebinthifolius,2024,May,7,9,5,Out,4
05PF1,TreMic,Schinus_terebinthifolius,2024,May,7,9,5,In,5
06PF2,AcnArb,Schinus_terebinthifolius,2024,May,7,9,5,Out,3
06PF2,AcnArb,Schinus_terebinthifolius,2024,May,7,9,5,In,2
06PF2,AcnArb&CapBac,Schinus_terebinthifolius,2024,May,7,9,5,Out,3
06PF2,AcnArb&CapBac,Schinus_terebinthifolius,2024,May,7,9,5,In,4
06PF2,AcnArb&CasSyl,Schinus_terebinthifolius,2024,May,7,9,5,Out,0
06PF2,AcnArb&CasSyl,Schinus_terebinthifolius,2024,May,7,9,5,In,0
06PF2,AcnArb&TreMic,Schinus_terebinthifolius,2024,May,7,9,5,Out,2
06PF2,AcnArb&TreMic,Schinus_terebinthifolius,2024,May,7,9,5,In,5
06PF2,All,Schinus_terebinthifolius,2024,May,7,9,5,Out,0
06PF2,All,Schinus_terebinthifolius,2024,May,7,9,5,In,2
06PF2,CapBac,Schinus_terebinthifolius,2024,May,7,9,5,Out,5
06PF2,CapBac,Schinus_terebinthifolius,2024,May,7,9,5,In,5
06PF2,CapBac&CasSyl,Schinus_terebinthifolius,2024,May,7,9,5,Out,5
06PF2,CapBac&CasSyl,Schinus_terebinthifolius,2024,May,7,9,5,In,5
06PF2,CapBac&TreMic,Schinus_terebinthifolius,2024,May,7,9,5,Out,0
06PF2,CapBac&TreMic,Schinus_terebinthifolius,2024,May,7,9,5,In,0
06PF2,CasSyl,Schinus_terebinthifolius,2024,May,7,9,5,Out,5
06PF2,CasSyl,Schinus_terebinthifolius,2024,May,7,9,5,In,5
06PF2,CasSyl&TreMic,Schinus_terebinthifolius,2024,May,7,9,5,Out,5
06PF2,CasSyl&TreMic,Schinus_terebinthifolius,2024,May,7,9,5,In,5
06PF2,Control,Schinus_terebinthifolius,2024,May,7,9,5,Out,5
06PF2,Control,Schinus_terebinthifolius,2024,May,7,9,5,In,5
06PF2,TreMic,Schinus_terebinthifolius,2024,May,7,9,5,Out,5
06PF2,TreMic,Schinus_terebinthifolius,2024,May,7,9,5,In,5
07ZM,AcnArb,Schinus_terebinthifolius,2024,May,7,9,5,Out,0
07ZM,AcnArb,Schinus_terebinthifolius,2024,May,7,9,5,In,2
07ZM,AcnArb&CapBac,Schinus_terebinthifolius,2024,May,7,9,5,Out,1
07ZM,AcnArb&CapBac,Schinus_terebinthifolius,2024,May,7,9,5,In,0
07ZM,AcnArb&CasSyl,Schinus_terebinthifolius,2024,May,7,9,5,Out,0
07ZM,AcnArb&CasSyl,Schinus_terebinthifolius,2024,May,7,9,5,In,0
07ZM,AcnArb&TreMic,Schinus_terebinthifolius,2024,May,7,9,5,Out,5
07ZM,AcnArb&TreMic,Schinus_terebinthifolius,2024,May,7,9,5,In,5
07ZM,All,Schinus_terebinthifolius,2024,May,7,9,5,Out,0
07ZM,All,Schinus_terebinthifolius,2024,May,7,9,5,In,1
07ZM,CapBac,Schinus_terebinthifolius,2024,May,7,9,5,Out,1
07ZM,CapBac,Schinus_terebinthifolius,2024,May,7,9,5,In,0
07ZM,CapBac&CasSyl,Schinus_terebinthifolius,2024,May,7,9,5,Out,0
07ZM,CapBac&CasSyl,Schinus_terebinthifolius,2024,May,7,9,5,In,0
07ZM,CapBac&TreMic,Schinus_terebinthifolius,2024,May,7,9,5,Out,5
07ZM,CapBac&TreMic,Schinus_terebinthifolius,2024,May,7,9,5,In,5
07ZM,CasSyl,Schinus_terebinthifolius,2024,May,7,9,5,Out,0
07ZM,CasSyl,Schinus_terebinthifolius,2024,May,7,9,5,In,0
07ZM,CasSyl&TreMic,Schinus_terebinthifolius,2024,May,7,9,5,Out,0
07ZM,CasSyl&TreMic,Schinus_terebinthifolius,2024,May,7,9,5,In,3
07ZM,Control,Schinus_terebinthifolius,2024,May,7,9,5,Out,0
07ZM,Control,Schinus_terebinthifolius,2024,May,7,9,5,In,1
07ZM,TreMic,Schinus_terebinthifolius,2024,May,7,9,5,Out,2
07ZM,TreMic,Schinus_terebinthifolius,2024,May,7,9,5,In,2
08NEI,AcnArb,Schinus_terebinthifolius,2024,May,7,9,5,Out,0
08NEI,AcnArb,Schinus_terebinthifolius,2024,May,7,9,5,In,0
08NEI,AcnArb&CapBac,Schinus_terebinthifolius,2024,May,7,9,5,Out,0
08NEI,AcnArb&CapBac,Schinus_terebinthifolius,2024,May,7,9,5,In,1
08NEI,AcnArb&CasSyl,Schinus_terebinthifolius,2024,May,7,9,5,Out,0
08NEI,AcnArb&CasSyl,Schinus_terebinthifolius,2024,May,7,9,5,In,0
08NEI,AcnArb&TreMic,Schinus_terebinthifolius,2024,May,7,9,5,Out,0
08NEI,AcnArb&TreMic,Schinus_terebinthifolius,2024,May,7,9,5,In,0
08NEI,All,Schinus_terebinthifolius,2024,May,7,9,5,Out,
08NEI,All,Schinus_terebinthifolius,2024,May,7,9,5,In,
08NEI,CapBac,Schinus_terebinthifolius,2024,May,7,9,5,Out,0
08NEI,CapBac,Schinus_terebinthifolius,2024,May,7,9,5,In,0
08NEI,CapBac&CasSyl,Schinus_terebinthifolius,2024,May,7,9,5,Out,0
08NEI,CapBac&CasSyl,Schinus_terebinthifolius,2024,May,7,9,5,In,0
08NEI,CapBac&TreMic,Schinus_terebinthifolius,2024,May,7,9,5,Out,0
08NEI,CapBac&TreMic,Schinus_terebinthifolius,2024,May,7,9,5,In,0
08NEI,CasSyl,Schinus_terebinthifolius,2024,May,7,9,5,Out,3
08NEI,CasSyl,Schinus_terebinthifolius,2024,May,7,9,5,In,5
08NEI,CasSyl&TreMIc,Schinus_terebinthifolius,2024,May,7,9,5,Out,0
08NEI,CasSyl&TreMIc,Schinus_terebinthifolius,2024,May,7,9,5,In,0
08NEI,Control,Schinus_terebinthifolius,2024,May,7,9,5,Out,0
08NEI,Control,Schinus_terebinthifolius,2024,May,7,9,5,In,0
08NEI,TreMic,Schinus_terebinthifolius,2024,May,7,9,5,Out,2
08NEI,TreMic,Schinus_terebinthifolius,2024,May,7,9,5,In,1
09DITO,AcnArb,Schinus_terebinthifolius,2024,May,7,9,5,Out,5
09DITO,AcnArb,Schinus_terebinthifolius,2024,May,7,9,5,In,5
09DITO,AcnArb&CapBac,Schinus_terebinthifolius,2024,May,7,9,5,Out,0
09DITO,AcnArb&CapBac,Schinus_terebinthifolius,2024,May,7,9,5,In,5
09DITO,AcnArb&CasSyl,Schinus_terebinthifolius,2024,May,7,9,5,Out,1
09DITO,AcnArb&CasSyl,Schinus_terebinthifolius,2024,May,7,9,5,In,0
09DITO,AcnArb&TreMic,Schinus_terebinthifolius,2024,May,7,9,5,Out,5
09DITO,AcnArb&TreMic,Schinus_terebinthifolius,2024,May,7,9,5,In,3
09DITO,All,Schinus_terebinthifolius,2024,May,7,9,5,Out,3
09DITO,All,Schinus_terebinthifolius,2024,May,7,9,5,In,2
09DITO,CapBac,Schinus_terebinthifolius,2024,May,7,9,5,Out,0
09DITO,CapBac,Schinus_terebinthifolius,2024,May,7,9,5,In,0
09DITO,CapBac&CasSyl,Schinus_terebinthifolius,2024,May,7,9,5,Out,4
09DITO,CapBac&CasSyl,Schinus_terebinthifolius,2024,May,7,9,5,In,5
09DITO,CapBac&TreMic,Schinus_terebinthifolius,2024,May,7,9,5,Out,0
09DITO,CapBac&TreMic,Schinus_terebinthifolius,2024,May,7,9,5,In,0
09DITO,CasSyl,Schinus_terebinthifolius,2024,May,7,9,5,Out,0
09DITO,CasSyl,Schinus_terebinthifolius,2024,May,7,9,5,In,0
09DITO,CasSyl&TreMic,Schinus_terebinthifolius,2024,May,7,9,5,Out,0
09DITO,CasSyl&TreMic,Schinus_terebinthifolius,2024,May,7,9,5,In,0
09DITO,Control,Schinus_terebinthifolius,2024,May,7,9,5,Out,3
09DITO,Control,Schinus_terebinthifolius,2024,May,7,9,5,In,4
09DITO,TreMic,Schinus_terebinthifolius,2024,May,7,9,5,Out,2
09DITO,TreMic,Schinus_terebinthifolius,2024,May,7,9,5,In,0
10JG,AcnArb,Schinus_terebinthifolius,2024,May,7,10,5,Out,4
10JG,AcnArb,Schinus_terebinthifolius,2024,May,7,10,5,In,3
10JG,AcnArb&CapBac,Schinus_terebinthifolius,2024,May,7,10,5,Out,5
10JG,AcnArb&CapBac,Schinus_terebinthifolius,2024,May,7,10,5,In,5
10JG,AcnArb&CasSyl,Schinus_terebinthifolius,2024,May,7,10,5,Out,5
10JG,AcnArb&CasSyl,Schinus_terebinthifolius,2024,May,7,10,5,In,4
10JG,AcnArb&TreMic,Schinus_terebinthifolius,2024,May,7,10,5,Out,5
10JG,AcnArb&TreMic,Schinus_terebinthifolius,2024,May,7,10,5,In,5
10JG,All,Schinus_terebinthifolius,2024,May,7,10,5,Out,5
10JG,All,Schinus_terebinthifolius,2024,May,7,10,5,In,5
10JG,CapBac,Schinus_terebinthifolius,2024,May,7,10,5,Out,2
10JG,CapBac,Schinus_terebinthifolius,2024,May,7,10,5,In,0
10JG,CapBac&CasSyl,Schinus_terebinthifolius,2024,May,7,10,5,Out,5
10JG,CapBac&CasSyl,Schinus_terebinthifolius,2024,May,7,10,5,In,1
10JG,CapBac&TreMic,Schinus_terebinthifolius,2024,May,7,10,5,Out,1
10JG,CapBac&TreMic,Schinus_terebinthifolius,2024,May,7,10,5,In,0
10JG,CasSyl,Schinus_terebinthifolius,2024,May,7,10,5,Out,5
10JG,CasSyl,Schinus_terebinthifolius,2024,May,7,10,5,In,5
10JG,CasSyl&TreMic,Schinus_terebinthifolius,2024,May,7,10,5,Out,4
10JG,CasSyl&TreMic,Schinus_terebinthifolius,2024,May,7,10,5,In,5
10JG,Control,Schinus_terebinthifolius,2024,May,7,10,5,Out,2
10JG,Control,Schinus_terebinthifolius,2024,May,7,10,5,In,4
10JG,TreMic,Schinus_terebinthifolius,2024,May,7,10,5,Out,4
10JG,TreMic,Schinus_terebinthifolius,2024,May,7,10,5,In,1
01JM1,AcnArb,Aegiphila_integrifolia,2024,May,8,10,5,Out,3
01JM1,AcnArb,Aegiphila_integrifolia,2024,May,8,10,5,In,5
01JM1,AcnArb&CasSyl,Aegiphila_integrifolia,2024,May,8,10,5,Out,4
01JM1,AcnArb&CasSyl,Aegiphila_integrifolia,2024,May,8,10,5,In,4
01JM1,All,Aegiphila_integrifolia,2024,May,8,10,5,Out,4
01JM1,All,Aegiphila_integrifolia,2024,May,8,10,5,In,4
01JM1,CapBac,Aegiphila_integrifolia,2024,May,8,10,5,Out,4
01JM1,CapBac,Aegiphila_integrifolia,2024,May,8,10,5,In,5
01JM1,CasSyl&TreMic,Aegiphila_integrifolia,2024,May,8,10,5,Out,0
01JM1,CasSyl&TreMic,Aegiphila_integrifolia,2024,May,8,10,5,In,5
02JM2,AcnArb&CapBac,Aegiphila_integrifolia,2024,May,8,10,5,Out,0
02JM2,AcnArb&CapBac,Aegiphila_integrifolia,2024,May,8,10,5,In,0
02JM2,AcnArb&TreMic,Aegiphila_integrifolia,2024,May,8,10,5,Out,5
02JM2,AcnArb&TreMic,Aegiphila_integrifolia,2024,May,8,10,5,In,0
02JM2,CasSyl,Aegiphila_integrifolia,2024,May,8,10,5,Out,0
02JM2,CasSyl,Aegiphila_integrifolia,2024,May,8,10,5,In,0
02JM2,Control,Aegiphila_integrifolia,2024,May,8,10,5,Out,0
02JM2,Control,Aegiphila_integrifolia,2024,May,8,10,5,In,0
02JM2,TreMic,Aegiphila_integrifolia,2024,May,8,10,5,Out,0
02JM2,TreMic,Aegiphila_integrifolia,2024,May,8,10,5,In,1
03SS,AcnArb,Aegiphila_integrifolia,2024,May,8,10,5,Out,0
03SS,AcnArb,Aegiphila_integrifolia,2024,May,8,10,5,In,5
03SS,All,Aegiphila_integrifolia,2024,May,8,10,5,Out,0
03SS,All,Aegiphila_integrifolia,2024,May,8,10,5,In,0
03SS,CapBac,Aegiphila_integrifolia,2024,May,8,10,5,Out,5
03SS,CapBac,Aegiphila_integrifolia,2024,May,8,10,5,In,5
03SS,CapBac&TreMic,Aegiphila_integrifolia,2024,May,8,10,5,Out,0
03SS,CapBac&TreMic,Aegiphila_integrifolia,2024,May,8,10,5,In,0
03SS,CasSyl&TreMic,Aegiphila_integrifolia,2024,May,8,10,5,Out,0
03SS,CasSyl&TreMic,Aegiphila_integrifolia,2024,May,8,10,5,In,0
04AJ,AcnArb&CapBac,Aegiphila_integrifolia,2024,May,8,10,5,Out,0
04AJ,AcnArb&CapBac,Aegiphila_integrifolia,2024,May,8,10,5,In,0
04AJ,CapBac&CasSyl,Aegiphila_integrifolia,2024,May,8,10,5,Out,4
04AJ,CapBac&CasSyl,Aegiphila_integrifolia,2024,May,8,10,5,In,5
04AJ,CasSyl,Aegiphila_integrifolia,2024,May,8,10,5,Out,0
04AJ,CasSyl,Aegiphila_integrifolia,2024,May,8,10,5,In,0
04AJ,Control,Aegiphila_integrifolia,2024,May,8,10,5,Out,2
04AJ,Control,Aegiphila_integrifolia,2024,May,8,10,5,In,2
04AJ,TreMic,Aegiphila_integrifolia,2024,May,8,10,5,Out,0
04AJ,TreMic,Aegiphila_integrifolia,2024,May,8,10,5,In,0
05PF1,AcnArb,Aegiphila_integrifolia,2024,May,8,10,5,Out,0
05PF1,AcnArb,Aegiphila_integrifolia,2024,May,8,10,5,In,0
05PF1,All,Aegiphila_integrifolia,2024,May,8,10,5,Out,2
05PF1,All,Aegiphila_integrifolia,2024,May,8,10,5,In,0
05PF1,CapBac,Aegiphila_integrifolia,2024,May,8,10,5,Out,0
05PF1,CapBac,Aegiphila_integrifolia,2024,May,8,10,5,In,4
05PF1,CapBac&TreMic,Aegiphila_integrifolia,2024,May,8,10,5,Out,5
05PF1,CapBac&TreMic,Aegiphila_integrifolia,2024,May,8,10,5,In,4
05PF1,CasSyl&TreMic,Aegiphila_integrifolia,2024,May,8,10,5,Out,5
05PF1,CasSyl&TreMic,Aegiphila_integrifolia,2024,May,8,10,5,In,2
06PF2,AcnArb&CapBac,Aegiphila_integrifolia,2024,May,8,10,5,Out,5
06PF2,AcnArb&CapBac,Aegiphila_integrifolia,2024,May,8,10,5,In,5
06PF2,AcnArb&TreMic,Aegiphila_integrifolia,2024,May,8,10,5,Out,5
06PF2,AcnArb&TreMic,Aegiphila_integrifolia,2024,May,8,10,5,In,4
06PF2,CapBac&CasSyl,Aegiphila_integrifolia,2024,May,8,10,5,Out,0
06PF2,CapBac&CasSyl,Aegiphila_integrifolia,2024,May,8,10,5,In,0
06PF2,CasSyl,Aegiphila_integrifolia,2024,May,8,10,5,Out,2
06PF2,CasSyl,Aegiphila_integrifolia,2024,May,8,10,5,In,3
06PF2,Control,Aegiphila_integrifolia,2024,May,8,10,5,Out,3
06PF2,Control,Aegiphila_integrifolia,2024,May,8,10,5,In,5
07ZM,AcnArb&CasSyl,Aegiphila_integrifolia,2024,May,13,15,5,Out,0
07ZM,AcnArb&CasSyl,Aegiphila_integrifolia,2024,May,13,15,5,In,0
07ZM,All,Aegiphila_integrifolia,2024,May,13,15,5,Out,0
07ZM,All,Aegiphila_integrifolia,2024,May,13,15,5,In,0
07ZM,CapBac,Aegiphila_integrifolia,2024,May,13,15,5,Out,0
07ZM,CapBac,Aegiphila_integrifolia,2024,May,13,15,5,In,0
07ZM,CapBac&TreMic,Aegiphila_integrifolia,2024,May,13,15,5,Out,3
07ZM,CapBac&TreMic,Aegiphila_integrifolia,2024,May,13,15,5,In,3
07ZM,CasSyl&TreMic,Aegiphila_integrifolia,2024,May,13,15,5,Out,2
07ZM,CasSyl&TreMic,Aegiphila_integrifolia,2024,May,13,15,5,In,4
08NEI,AcnArb,Aegiphila_integrifolia,2024,May,8,10,5,Out,0
08NEI,AcnArb,Aegiphila_integrifolia,2024,May,8,10,5,In,0
08NEI,AcnArb&CasSyl,Aegiphila_integrifolia,2024,May,8,10,5,Out,0
08NEI,AcnArb&CasSyl,Aegiphila_integrifolia,2024,May,8,10,5,In,0
08NEI,CapBac,Aegiphila_integrifolia,2024,May,8,10,5,Out,0
08NEI,CapBac,Aegiphila_integrifolia,2024,May,8,10,5,In,0
08NEI,CapBac&TreMic,Aegiphila_integrifolia,2024,May,8,10,5,Out,0
08NEI,CapBac&TreMic,Aegiphila_integrifolia,2024,May,8,10,5,In,3
08NEI,CasSyl&TreMic,Aegiphila_integrifolia,2024,May,8,10,5,Out,0
08NEI,CasSyl&TreMic,Aegiphila_integrifolia,2024,May,8,10,5,In,0
09DITO,AcnArb&CapBac,Aegiphila_integrifolia,2024,May,13,15,5,Out,2
09DITO,AcnArb&CapBac,Aegiphila_integrifolia,2024,May,13,15,5,In,5
09DITO,AcnArb&TreMic,Aegiphila_integrifolia,2024,May,13,15,5,Out,4
09DITO,AcnArb&TreMic,Aegiphila_integrifolia,2024,May,13,15,5,In,4
09DITO,CapBac&CasSyl,Aegiphila_integrifolia,2024,May,13,15,5,Out,3
09DITO,CapBac&CasSyl,Aegiphila_integrifolia,2024,May,13,15,5,In,1
09DITO,Control,Aegiphila_integrifolia,2024,May,13,15,5,Out,4
09DITO,Control,Aegiphila_integrifolia,2024,May,13,15,5,In,5
09DITO,TreMic,Aegiphila_integrifolia,2024,May,13,15,5,Out,1
09DITO,TreMic,Aegiphila_integrifolia,2024,May,13,15,5,In,1
10JG,AcnArb&CapBac,Aegiphila_integrifolia,2024,May,9,11,5,Out,0
10JG,AcnArb&CapBac,Aegiphila_integrifolia,2024,May,9,11,5,In,0
10JG,AcnArb&TreMic,Aegiphila_integrifolia,2024,May,9,11,5,Out,0
10JG,AcnArb&TreMic,Aegiphila_integrifolia,2024,May,9,11,5,In,0
10JG,CasSyl,Aegiphila_integrifolia,2024,May,9,11,5,Out,0
10JG,CasSyl,Aegiphila_integrifolia,2024,May,9,11,5,In,0
10JG,TreMic,Aegiphila_integrifolia,2024,May,9,11,5,Out,5
10JG,TreMic,Aegiphila_integrifolia,2024,May,9,11,5,In,5
01JM1,AcnArb,Syagrus_romanzoffiana,2024,June,6,8,5,Out,5
