name,hab,mi_hab,plant,predated,total
JT,for,wood_debris,Spice_bush,0,10
JT,for,wood_debris,Berberis,1,10
JT,for,wood_debris,Tulip_tree,0,10
JT,for,wood_debris,Pokeweed,0,10
JT,for,wood_debris,Devils_club,0,10
JT,for,cover,Spice_bush,0,10
JT,for,cover,Berberis,3,10
JT,for,cover,Tulip_tree,0,10
JT,for,cover,Pokeweed,3,10
JT,for,cover,Devils_club,0,10
JT,suc,wood_debris,Spice_bush,10,10
JT,suc,wood_debris,Berberis,0,10
JT,suc,wood_debris,Tulip_tree,0,10
JT,suc,wood_debris,Pokeweed,0,10
JT,suc,wood_debris,Devils_club,1,10
JT,suc,cover,Spice_bush,10,10
JT,suc,cover,Berberis,2,10
JT,suc,cover,Tulip_tree,0,10
JT,suc,cover,Pokeweed,3,10
JT,suc,cover,Devils_club,0,10
Helen,for,wood_debris,Spice_bush,1,5
Helen,for,wood_debris,Berberis,1,10
Helen,for,wood_debris,Tulip_tree,1,10
Helen,for,wood_debris,Pokeweed,0,10
Helen,for,wood_debris,Devils_club,0,10
Helen,for,cover,Spice_bush,4,10
Helen,for,cover,Berberis,2,10
Helen,for,cover,Tulip_tree,0,10
Helen,for,cover,Pokeweed,0,10
Helen,for,cover,Devils_club,0,10
Helen,suc,cover,Spice_bush,10,10
Helen,suc,cover,Berberis,0,10
Helen,suc,cover,Tulip_tree,0,10
Helen,suc,cover,Pokeweed,8,10
Helen,suc,cover,Devils_club,3,10
J.P.,for,wood_debris,Spice_bush,5,5
J.P.,for,wood_debris,Berberis,3,10
J.P.,for,wood_debris,Tulip_tree,0,10
J.P.,for,wood_debris,Pokeweed,5,10
J.P.,for,wood_debris,Devils_club,1,10
J.P.,for,cover,Spice_bush,1,5
J.P.,for,cover,Berberis,0,10
J.P.,for,cover,Tulip_tree,0,10
J.P.,for,cover,Pokeweed,0,10
J.P.,for,cover,Devils_club,0,10
J.P.,suc,wood_debris,Spice_bush,10,10
J.P.,suc,wood_debris,Berberis,1,10
J.P.,suc,wood_debris,Tulip_tree,0,10
J.P.,suc,wood_debris,Pokeweed,4,10
J.P.,suc,wood_debris,Devils_club,2,10
Saba,for,cover,Devils_club,5,10
Saba,for,cover,Spice_bush,4,10
Saba,for,cover,Berberis,2,10
Saba,for,cover,Tulip_tree,10,10
Saba,for,cover,Pokeweed,10,10
Saba,for,wood_debris,Devils_club,10,10
Saba,for,wood_debris,Spice_bush,10,10
Saba,for,wood_debris,Berberis,2,10
Saba,for,wood_debris,Tulip_tree,10,10
Saba,for,wood_debris,Pokeweed,10,10
marisa,for,cover,Devils_club,0,10
marisa,for,cover,Tulip_tree,0,10
marisa,for,cover,Berberis,0,10
marisa,for,cover,Pokeweed,0,10
marisa,for,cover,Spice_bush,0,10
marisa,for,wood_debris,Spice_bush,0,10
marisa,for,wood_debris,Pokeweed,0,10
marisa,for,wood_debris,Tulip_tree,0,10
marisa,for,wood_debris,Devils_club,0,10
Ben,for,wood_debris,Devils_club,0,10
Ben,for,wood_debris,Tulip_tree,0,10
Ben,for,wood_debris,Berberis,0,10
Ben,for,wood_debris,Pokeweed,0,12
Ben,for,wood_debris,Spice_bush,1,10
Ben,for,cover,Devils_club,0,10
Ben,for,cover,Tulip_tree,0,10
Ben,for,cover,Berberis,0,10
Ben,for,cover,Pokeweed,0,10
Ben,for,cover,Spice_bush,0,10
Ben,suc,wood_debris,Devils_club,0,10
Ben,suc,wood_debris,Tulip_tree,0,10
Ben,suc,wood_debris,Berberis,2,10
Ben,suc,wood_debris,Pokeweed,1,10
Ben,suc,wood_debris,Spice_bush,0,5
Ben,suc,cover,Devils_club,5,10
Ben,suc,cover,Tulip_tree,0,10
Ben,suc,cover,Berberis,0,10
Ben,suc,cover,Pokeweed,0,10
Ben,suc,cover,Spice_bush,0,10
